Year,Month,Day,Time.Start,Time.End,Hour,Minutes,Duration_min,Day_Duration
2018,3,29,9:50,11:45,1,55,115,115
2018,3,30,9:45,11:15,1,30,90,210
2018,3,30,15:10,17:10,2,0,120,210
2018,3,31,9:10,12:30,3,20,200,200
2018,4,1,1:40,4:40,3,0,180,180
2018,4,3,8:45,13:32,4,47,287,287
2019,1,8,8:00,17:30,9,30,570,570
2019,1,9,9:30,11:45,2,15,135,135
2019,1,11,8:05,11:00,2,55,175,430
2019,1,11,13:00,15:00,2,0,120,430
2019,1,11,18:45,21:00,2,15,135,430
2019,1,12,8:45,12:30,3,45,225,225
2019,1,13,13:15,19:15,6,0,360,360
2019,1,14,13:15,15:15,2,0,120,120
2019,1,15,8:00,19:00,11,0,660,660
2019,1,16,8:45,11:15,2,30,150,150
2019,1,17,9:15,10:45,1,30,90,450
2019,1,17,15:00,21:00,6,0,360,450
2019,1,18,9:00,13:00,4,0,240,240
2019,1,20,9:45,11:45,2,0,120,300
2019,1,20,14:15,17:15,3,0,180,300
2019,1,22,9:30,17:30,8,0,480,480
2019,1,23,9:00,15:30,6,30,390,390
2019,1,26,8:50,12:10,3,20,200,310
2019,1,26,16:00,17:50,1,50,110,310
2019,1,27,9:30,11:00,1,30,90,345
2019,1,27,13:15,17:30,4,15,255,345
2019,1,28,10:45,17:00,6,15,375,375
2019,1,29,13:00,15:00,2,0,120,420
2019,1,29,16:00,21:00,5,0,300,420
2019,1,31,9:00,15:45,6,45,405,495
2019,1,31,19:00,20:30,1,30,90,495
2019,2,1,9:45,10:30,0,45,45,45
2019,2,2,8:45,12:45,4,0,240,300
2019,2,2,16:15,17:15,1,0,60,300
2019,2,4,15:00,17:00,2,0,120,120
2019,2,5,8:00,10:15,2,15,135,240
2019,2,5,16:00,17:45,1,45,105,240
2019,2,6,9:00,11:30,2,30,150,230
2019,2,6,13:00,14:20,1,20,80,230
2019,2,7,9:00,11:30,2,30,150,240
2019,2,7,13:00,14:30,1,30,90,240
2019,2,8,13:45,15:15,1,30,90,90
2019,2,9,16:30,20:45,4,15,255,255
2019,2,11,10:00,12:30,2,30,150,150
2019,2,12,9:30,11:30,2,0,120,270
2019,2,12,14:30,17:00,2,30,150,270
2019,2,13,9:50,11:50,2,0,120,120
2019,2,14,9:30,11:45,2,15,135,225
